section,category,templates,routes,Homepage,Solution — flagship (billing),Solution — shared renderer,Solution — AI (Camber),Support & onboarding,Why Playground,Customer stories index,About,Careers,Collection index,404,Built-for audience page (plain),Built-for audience page (savings club + support band),Built-for audience page (support band),Built-for audience page (head start — tile grid + pull quote)
chrome.header,CHROME,15,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
chrome.footer,CHROME,15,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
chrome.scroll-restore,CHROME,15,23,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
convert.closing-cta,CONVERT,13,21,x,x,x,x,x,,x,x,x,x,,x,x,x,x
proof.logo-ticker,PROOF,11,16,x,x,x,x,x,x,x,,,,,x,x,x,x
feature.alternating-rows,FEATURE,11,16,,x,x,x,x,x,,x,x,,,x,x,x,x
convert.faq,CONVERT,8,13,,x,x,x,,x,,,,,,x,x,x,x
hero.split,HERO,6,11,,x,x,,,,,,,,,x,x,x,x
hero.centered,HERO,7,10,,,,x,x,x,x,x,x,x,,,,,
collection.article-rail,COLLECTION,3,5,,x,x,x,,,,,,,,,,,
feature.audience-tiles,FEATURE,4,4,x,x,,,,x,x,,,,,,,,
feature.intro-band,FEATURE,2,4,,x,x,,,,,,,,,,,,
convert.sibling-links,CONVERT,2,4,,x,x,,,,,,,,,,,,
collection.card-grid,COLLECTION,1,4,,,,,,,,,,x,,,,,
collection.category-feed,COLLECTION,1,4,,,,,,,,,,x,,,,,
collection.release-feed,COLLECTION,1,4,,,,,,,,,,x,,,,,
proof.testimonial-band,PROOF,3,3,x,x,,,,x,,,,,,,,,
feature.card-grid,FEATURE,3,3,,x,,x,,,,,x,,,,,,
feature.support-band,FEATURE,2,3,,,,,,,,,,,,,x,x,
proof.review-wall,PROOF,2,2,,,,,,,,x,x,,,,,,
feature.release-list,FEATURE,2,2,,,,,x,x,,,,,,,,,
convert.savings-club,CONVERT,1,2,,,,,,,,,,,,,x,,
hero.home,HERO,1,1,x,,,,,,,,,,,,,,
proof.customer-stories,PROOF,1,1,,,,,,,x,,,,,,,,
feature.grid-sections,FEATURE,1,1,x,,,,,,,,,,,,,,
feature.timeline,FEATURE,1,1,x,,,,,,,,,,,,,,
convert.demo-form,CONVERT,1,1,,,,,,x,,,,,,,,,
convert.not-found,CONVERT,1,1,,,,,,,,,,,x,,,,
feature.tile-grid,FEATURE,1,1,,,,,,,,,,,,,,,x
proof.pull-quote,PROOF,1,1,,,,,,,,,,,,,,,x
ROUTE COUNT,,,23,1,1,3,1,1,1,1,1,1,4,1,3,2,1,1
